"altura_tot","diametro","inclinacio","nombre_com"
10,35,0,"Ceibo"
10,35,0,"Ceibo"
10,35,0,"Ceibo"
10,35,0,"Ceibo"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
5,10,0,"Jacarandá"
12,25,0,"Jacarandá"
12,25,0,"Jacarandá"
12,25,0,"Jacarandá"
12,25,0,"Jacarandá"
12,25,0,"Jacarandá"
7,14,0,"Jacarandá"
7,14,0,"Jacarandá"
7,14,0,"Jacarandá"
7,14,0,"Jacarandá"
7,14,0,"Jacarandá"
7,14,0,"Jacarandá"
4,15,0,"Ceibo"
4,15,0,"Ceibo"
4,15,0,"Ceibo"
4,15,0,"Ceibo"
4,15,0,"Ceibo"
4,15,0,"Ceibo"
4,15,0,"Ceibo"
4,15,0,"Ceibo"
4,15,0,"Ceibo"
4,15,0,"Ceibo"
4,15,0,"Ceibo"
4,15,0,"Ceibo"
4,15,0,"Ceibo"
4,15,0,"Ceibo"
4,15,0,"Ceibo"
6,30,0,"Ceibo"
6,30,0,"Ceibo"
6,30,0,"Ceibo"
6,30,0,"Ceibo"
6,30,0,"Ceibo"
6,30,0,"Ceibo"
6,30,0,"Ceibo"
6,30,0,"Ceibo"
6,30,0,"Ceibo"
6,30,0,"Ceibo"
6,30,0,"Ceibo"
6,30,0,"Ceibo"
6,30,0,"Ceibo"
6,30,0,"Ceibo"
6,30,0,"Ceibo"
8,22,0,"Jacarandá"
8,22,0,"Jacarandá"
8,22,0,"Jacarandá"
8,22,0,"Jacarandá"
8,22,0,"Jacarandá"
8,22,0,"Jacarandá"
8,22,0,"Jacarandá"
8,22,0,"Jacarandá"
8,22,0,"Jacarandá"
8,22,0,"Jacarandá"
8,22,0,"Jacarandá"
8,22,0,"Jacarandá"
8,22,0,"Jacarandá"
8,22,0,"Jacarandá"
8,22,0,"Jacarandá"
8,22,0,"Jacarandá"
7,32,0,"Ceibo"
7,32,0,"Ceibo"
7,32,0,"Ceibo"
7,32,0,"Ceibo"
7,25,0,"Jacarandá"
7,25,0,"Jacarandá"
7,25,0,"Jacarandá"
7,25,0,"Jacarandá"
7,25,0,"Jacarandá"
20,40,0,"Eucalipto"
20,40,0,"Eucalipto"
20,40,0,"Eucalipto"
20,40,0,"Eucalipto"
20,40,0,"Eucalipto"
20,40,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
25,35,0,"Eucalipto"
16,50,0,"Eucalipto"
16,50,0,"Eucalipto"
16,50,0,"Eucalipto"
16,50,0,"Eucalipto"
16,50,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
22,34,0,"Eucalipto"
